iter	Passed	Remaining
0	1	102
1	2	98
2	2	93
3	3	90
4	4	89
5	5	87
6	6	86
7	7	85
8	8	84
9	9	83
10	10	82
11	11	81
12	12	80
13	12	79
14	13	78
15	14	77
16	15	75
17	16	75
18	17	75
19	18	74
20	19	73
21	20	72
22	21	72
23	22	71
24	23	70
25	24	69
26	25	68
27	26	66
28	26	66
29	27	65
30	28	63
31	29	62
32	30	62
33	31	60
34	32	60
35	33	59
36	34	58
37	34	57
38	35	56
39	36	55
40	37	54
41	38	53
42	39	52
43	39	50
44	40	49
45	41	48
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	58	31
65	59	30
66	60	29
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
